id,hs,top_cm,bot_cm,smp_id,scope_id,sram_id,present [0/1],top_depth_cm,bot_depth_mm
SLMet_20250204,65,65,62,,,SLMet_20250204_sram.csv,1,3,5
FEFHQ_20250306,107,97,94,,,FEFHQ_20250306_sram.csv,1,12,16
FEFHQ_20250306,107,67,65,,,FEFHQ_20250306_sram.csv,1,41,46
JPLMet_20250408_TS_0930,68,68,62,,,JPLMet_20250408_TS_0930_sram.csv,1,1,6
JPLMet_20250313,85,81,77,,,JPLMet_20250313_sram.csv,1,6,9
JPLMet_20250313,85,69,67,,,JPLMet_20250313_sram.csv,1,18,22
JPLMet_20250313,85,53,50,,,JPLMet_20250313_sram.csv,1,34,36
SLMet_20250225,88,56,53,,,SLMet_20250225_sram.csv,1,28,30
DHMet_CLPXDH_20250228,104,104,100.5,,,DHMet_CLPXDH_20250228_sram.csv,0,,
FEFHQ_20250211,73,65,63,,,FEFHQ_20250211_sram.csv,1,9,12
JPLMet_20250225,91,90,88,,,JPLMet_20250225_sram.csv,1,1,3
JPLMet_20250225,91,58,55,,,JPLMet_20250225_sram.csv,1,31,35.5
BOG_20241217,125,50.5,50,,,BOG_20241217_sram.csv,0,,
BOG_20241217,125,35,26,,,BOG_20241217_sram.csv,1,90,101
BOG_20241217,125,7,0,,,BOG_20241217_sram.csv,1,122,125
FEFHQ_20250318,100,100,99,,,FEFHQ_20250318_sram.csv,0,,
FEFHQ_20250318,100,94,87,,,FEFHQ_20250318_sram.csv,1,9,14
FEFHQ_20250318,100,63,60,,,FEFHQ_20250318_sram.csv,1,39,41
BDG_20250201,210,162,161,,,BDG_20250201_sram.csv,1,46,49
BDG_20250201,210,60,57,,,BDG_20250201_sram.csv,1,148,150
DHMet_20250214,108,85,82,,,DHMet_20250214_sram.csv,1,24,27
JPLMet_20241226,53,4,0,,,JPLMet_20241226_sram.csv,1,47,51
TPO_20240311,97,97,96,,,TPO_20240311_sram.csv,0,,
TPO_20240311,97,36,33,,,TPO_20240311_sram.csv,0,,
DHMet_20250407,123,123,119.5,,,DHMet_20250407_sram.csv,1,2,5
DHMet_20250407,123,114,111,,,DHMet_20250407_sram.csv,1,10,13
FRE_20250109,220,198,197,,,FRE_20250109_sram.csv,1,23,24
FRE_20250109,220,51,50,,,FRE_20250109_sram.csv,0,,
AM_20250328,141,141,134,,,AM_20250328_sram.csv,0,,
