id,hs,top_cm,bot_cm,smp_id,scope_id,sram_id,present [0/1],top_depth_mm,bot_depth_mm
JPLMet_20250407_TS_1200,68,61,60,,Profile239_SN00377.csv,,1,135,157
JPLMet_20250407_TS_1200,68,61,60,,Profile241_SN00377.csv,,0,,
JPLMet_20250407_TS_1200,68,61,60,,Profile3_SN00373.csv,,1,87,99
JPLMet_20250407_TS_1200,68,53,51.5,,Profile232_SN00377.csv,,1,145,177
JPLMet_20250407_TS_1200,68,53,51.5,,Profile235_SN00377.csv,,1,140,172
JPLMet_20250407_TS_1200,68,53,51.5,,Profile239_SN00377.csv,,1,134,173
JPLMet_20250407_TS_1200,68,53,51.5,,Profile241_SN00377.csv,,1,136,212
JPLMet_20250407_TS_1200,68,53,51.5,,Profile3_SN00373.csv,,1,166,198
DHMet_20250318,125,113,108,,Profile221_SN00308.csv,,1,157,182
DHMet_20250318,125,113,108,,Profile222_SN00308.csv,,1,184,211
DHMet_20250318,125,113,108,,Profile223_SN00308.csv,,1,153,183
DHMet_20250318,125,113,108,,Profile224_SN00308.csv,,1,100,180
DHMet_20250318,125,113,108,,Profile230_SN00308.csv,,1,90,177
DHMet_20250318,125,105,103,,Profile221_SN00308.csv,,1,156,185
DHMet_20250318,125,105,103,,Profile222_SN00308.csv,,1,184,211
DHMet_20250318,125,105,103,,Profile223_SN00308.csv,,1,155,183
DHMet_20250318,125,105,103,,Profile224_SN00308.csv,,1,98,218
DHMet_20250318,125,105,103,,Profile230_SN00308.csv,,1,90,194
BOG_20250205,204,203,202.5,,Profile131_SN00377.csv,,1,11,25
BOG_20250205,204,203,202.5,,Profile132_SN00377.csv,,1,15,29
BOG_20250205,204,203,202.5,,Profile133_SN00377.csv,,1,9,26
BOG_20250205,204,203,202.5,,Profile135_SN00377.csv,,1,3,19
BOG_20250205,204,203,202.5,,Profile136_SN00377.csv,,1,6,18
BOG_20250205,204,113.5,112.5,,Profile131_SN00377.csv,,1,962,975
BOG_20250205,204,113.5,112.5,,Profile132_SN00377.csv,,1,983,992
BOG_20250205,204,113.5,112.5,,Profile133_SN00377.csv,,1,978,991
BOG_20250205,204,113.5,112.5,,Profile135_SN00377.csv,,1,955,972
BOG_20250205,204,113.5,112.5,,Profile136_SN00377.csv,,1,949,966
BOG_20250205,204,74,59,,Profile131_SN00377.csv,,1,1386,1397
BOG_20250205,204,74,59,,Profile132_SN00377.csv,,1,1401,1441
BOG_20250205,204,74,59,,Profile133_SN00377.csv,,1,1382,1442
BOG_20250205,204,74,59,,Profile135_SN00377.csv,,1,1387,1413
BOG_20250205,204,74,59,,Profile136_SN00377.csv,,1,1368,1411
BDG_20250228,288,284,283,,Profile181_SN00377.csv,,1,19,28
BDG_20250228,288,284,283,,Profile183_SN00377.csv,,1,12,40
BDG_20250228,288,284,283,,Profile184_SN00377.csv,,1,33,102
BDG_20250228,288,284,283,,Profile185_SN00377.csv,,1,51,114
BDG_20250228,288,284,283,,Profile186_SN00377.csv,,1,20,42
BDG_20250228,288,279,278,,Profile181_SN00377.csv,,1,19,28
BDG_20250228,288,279,278,,Profile183_SN00377.csv,,1,12,40
BDG_20250228,288,279,278,,Profile184_SN00377.csv,,1,35,102
BDG_20250228,288,279,278,,Profile185_SN00377.csv,,1,67,100
BDG_20250228,288,279,278,,Profile186_SN00377.csv,,1,21,38
BDG_20250228,288,148,147,,Profile181_SN00377.csv,,0,,
BDG_20250228,288,148,147,,Profile183_SN00377.csv,,0,,
BDG_20250228,288,148,147,,Profile184_SN00377.csv,,0,,
BDG_20250228,288,148,147,,Profile185_SN00377.csv,,0,,
BDG_20250228,288,148,147,,Profile186_SN00377.csv,,0,,
PLT2_20241206,88,66.5,66,,Profile3_SN00359.csv,,0,,
PLT2_20241206,88,66.5,66,,Profile2_SN00359.csv,,0,,
PLT2_20241206,88,66.5,66,,Profile4_SN00359.csv,,0,,
PLT2_20241206,88,18,16,,Profile3_SN00359.csv,,1,715,731
PLT2_20241206,88,18,16,,Profile2_SN00359.csv,,1,680,699
PLT2_20241206,88,18,16,,Profile4_SN00359.csv,,1,695,719
JPLMet_20250305,96,86,82,,Profile159_SN00308.csv,,1,91,120
JPLMet_20250305,96,86,82,,Profile160_SN00308.csv,,1,8,33
JPLMet_20250305,96,86,82,,Profile161_SN00308.csv,,1,95,125
JPLMet_20250305,96,86,82,,Profile163_SN00308.csv,,1,107,131
JPLMet_20250305,96,86,82,,Profile165_SN00308.csv,,1,102,123
JPLMet_20250305,96,59,56,,Profile159_SN00308.csv,,1,408,431
JPLMet_20250305,96,59,56,,Profile160_SN00308.csv,,1,232,315
JPLMet_20250305,96,59,56,,Profile161_SN00308.csv,,1,417,433
JPLMet_20250305,96,59,56,,Profile163_SN00308.csv,,1,408,436
JPLMet_20250305,96,59,56,,Profile165_SN00308.csv,,1,383,397
BOG_20250116,153,153,152,,Profile39_SN00340.csv,,0,,
BOG_20250116,153,153,152,,Profile42_SN00340.csv,,0,,
BOG_20250116,153,153,152,,Profile43_SN00340.csv,,0,,
BOG_20250116,153,153,152,,Profile44_SN00340.csv,,0,,
BOG_20250116,153,153,152,,Profile45_SN00340.csv,,0,,
BOG_20250116,153,93.5,92.5,,Profile39_SN00340.csv,,0,,
BOG_20250116,153,93.5,92.5,,Profile42_SN00340.csv,,0,,
BOG_20250116,153,93.5,92.5,,Profile43_SN00340.csv,,1,631,627
BOG_20250116,153,93.5,92.5,,Profile44_SN00340.csv,,0,,
BOG_20250116,153,93.5,92.5,,Profile45_SN00340.csv,,0,,
BOG_20250116,153,80,76,,Profile39_SN00340.csv,,1,654,767
BOG_20250116,153,80,76,,Profile42_SN00340.csv,,1,719,806
BOG_20250116,153,80,76,,Profile43_SN00340.csv,,1,699,763
BOG_20250116,153,80,76,,Profile44_SN00340.csv,,1,686,751
BOG_20250116,153,80,76,,Profile45_SN00340.csv,,1,729,777
AM_20250416,139,130,118,,Profile421_SN00308.csv,,1,53,186
AM_20250416,139,130,118,,Profile423_SN00308.csv,,0,,
AM_20250416,139,130,118,,Profile424_SN00308.csv,,1,100,186
AM_20250416,139,130,118,,Profile426_SN00308.csv,,1,47,113
