,top_cm,bottom_cm,grain max_mm,grain min_mm,grain avg_mm,type,HH,wetness,comments,hs_cm,swe_mm,density_kgm3,date,hs,profile_id,avg_force_ram,avg_force_scope,avg_force_smp
1944,72.0,53.0,,,<1,RG,1F,D,,,,,,106.0,LFMet_20240208,90.4155,4.688314556390978,
1945,53.0,46.0,,,<1,RG,P,D,,,,,,106.0,LFMet_20240208,217.04625,4.337107714285714,
1946,46.0,10.0,,,2_4,FC,F,D,,,,,,106.0,LFMet_20240208,31.065000000000005,0.9585207272727272,
1947,10.0,6.0,,,2_4,FC,P,D,"well bonded FC, some melt early season",,,,,106.0,LFMet_20240208,,,
1948,6.0,0.0,,,4_6,FC,F,D,"DH stirations, prisms",,,,,106.0,LFMet_20240208,15.092307692307694,,
1949,146.0,145.5,,,2_4,FC,F+,M,"striated, squares, NSF's",,,,,146.0,AM_20240404,,0.5222835,
1950,145.5,141.0,,,1_2,MFcr,1F,D,"close to M, some facets",,,,,146.0,AM_20240404,53.955000000000005,1.44185425,
1951,141.0,129.0,,,1_2,RG,F+,D,faceted,,,,,146.0,AM_20240404,20.165,1.256146117647059,
1952,129.0,128.5,,,1_2,FC,F,D,some rounded edges,,,,,146.0,AM_20240404,,6.701184,
1953,128.5,127.5,,,<1,MFcr,4F,D,,,,,,146.0,AM_20240404,63.765,2.669646857142857,
1954,127.5,126.5,,,1_2,MF,F,D,heavily faceted,,,,,146.0,AM_20240404,,2.686029428571428,
1955,126.5,113.0,,,<1,RG,4F+,D,,,,,,146.0,AM_20240404,75.65590909090908,3.33466155319149,
1956,113.0,96.0,,,<1,RG,1F+,D,,,,,,146.0,AM_20240404,237.29299999999998,7.130454857142857,
1957,96.0,85.0,,,<1,RG,1F,D,,,,,,146.0,AM_20240404,230.535,6.398498545454545,
1958,85.0,49.0,,,<1,RG,4F+,D,closer to 1f @49cm,,,,,146.0,AM_20240404,204.17830827067672,5.4420164505928845,
1959,49.0,14.0,,,2_4,FC,F,D,DH rounding,,,,,146.0,AM_20240404,,1.2909579346938775,
1960,14.0,0.0,,,4_6,FC,4F+,D,DH less rounded than layer above,,,,,146.0,AM_20240404,92.21400000000001,3.3723099191919186,
1961,166.0,165.0,,,<1,MFcr,P,D,,,,,,166.0,FSTA_20240404,,,
1962,165.0,164.0,,,<1,MF,F,VW,0.2-0.3mm,,,,,166.0,FSTA_20240404,,,
1963,164.0,149.0,,,<1,RG,F+,D,0.1-0.2mm,,,,,166.0,FSTA_20240404,,,
1964,149.0,147.0,,,<1,MFcr,F,D,0.2-0.4mm,,,,,166.0,FSTA_20240404,,,
1965,147.0,114.0,,,<1,RG,1F,D,1F+ @ bottom of layer.  0.2-0.4,,,,,166.0,FSTA_20240404,159.0460344827586,,
1966,114.0,79.5,,,<1,RG,P-,D,0.4-0.5mm.  old facets,,,,,166.0,FSTA_20240404,389.5602631578948,,
1967,79.5,52.5,,,<1,RG,P,D,"0.4-0.5mm.  old facets, well bonded",,,,,166.0,FSTA_20240404,502.9067647058823,,
1968,52.5,16.0,,,1_2,FC,4F+,D,rounding,,,,,166.0,FSTA_20240404,135.82611111111112,,
