,top_cm,bottom_cm,grain max_mm,grain min_mm,grain avg_mm,type,HH,wetness,comments,hs_cm,swe_mm,density_kgm3,date,hs,profile_id,avg_force_ram,avg_force_scope,avg_force_smp
29,66.5,66.0,1.0,0.2,0.5,IF,K,M,Ice lens/ ice crust,0.5,,,,88.0,PLT2_20241206,,,
30,66.0,64.5,1.0,0.3,0.4,MF,4F,M,,1.5,,,,88.0,PLT2_20241206,,,
31,64.5,64.0,1.25,0.2,0.5,MF,4F,M,drier,0.5,,,,88.0,PLT2_20241206,,,
32,64.0,18.0,1.0,0.0,0.4,RG,4F,M,,46.0,,,,88.0,PLT2_20241206,,,
33,18.0,16.0,1.3,0.4,0.6,MFcr,P,W,,2.0,,,,88.0,PLT2_20241206,,,
34,16.0,0.0,1.5,0.5,1.0,RG,4F,M+,,16.0,,,,88.0,PLT2_20241206,,,
35,96.0,93.0,1.0,0.5,0.8,DF,F,M,DFbk,2.0,1.5,75.0,20250305.0,96.0,JPLMet_20250305,32.351971213438404,1.814946009478673,
36,93.0,86.0,0.8,0.1,0.3,RG,4F,D,"RGsr
DFdc",6.4,2.0,31.25,,96.0,JPLMet_20250305,58.418862842281435,0.9431742810590632,
37,86.0,82.0,1.0,0.3,0.5,MFcr,K,D,"MFcr
MFpc",4.6,13.5,293.47826086956525,,96.0,JPLMet_20250305,,,
38,82.0,59.0,1.0,0.3,0.5,RG,1F,D,RGlr,19.6,45.5,232.14285714285717,,96.0,JPLMet_20250305,,,
39,59.0,56.0,2.0,0.5,1.0,IF,K,D,"IFil
Obvious ice lens",,,,,96.0,JPLMet_20250305,,,
40,56.0,34.0,2.0,0.5,1.0,FCxr,F,D,,21.8,59.0,270.6422018348624,,96.0,JPLMet_20250305,,,
41,34.0,15.0,3.0,1.0,2.0,DHxr,4F,D,,16.6,41.5,250.0,,96.0,JPLMet_20250305,,,
42,15.0,0.0,6.0,1.0,2.0,DHxr,1F,D,,18.2,48.5,266.4835164835165,,96.0,JPLMet_20250305,,,
47,153.0,152.0,0.5,0.1,0.3,MFcr,F,D,,1.0,3.2,0.0,20250116.0,153.0,BOG_20250116,2.7841056338028176,,0.15394008703618972
48,152.0,136.0,1.0,0.3,0.7,FCxr,F,D,,15.8,30.0,189.873417721519,,153.0,BOG_20250116,314.0852988403211,,2.2656215383252056
49,136.0,127.0,0.4,0.2,0.3,RGxf,4F,D,,12.4,30.0,241.93548387096777,,153.0,BOG_20250116,,,
50,127.0,112.0,0.8,0.3,0.5,RGxf,4F,D,,12.6,31.0,246.031746031746,,153.0,BOG_20250116,,,
51,112.0,93.5,0.8,0.2,0.4,RGxf,4F,D,More facets than layer above,,,,,153.0,BOG_20250116,,,
52,93.5,92.5,,,,IFil,I,D,"clear, faceting melt forms below",,,,,153.0,BOG_20250116,,,
53,92.5,80.0,0.3,0.1,0.2,RGsr,1F,D,some faceted edges,,,,,153.0,BOG_20250116,,,
54,80.0,76.0,1.5,0.5,1.0,MFcr,P,D,"some IF, some faceted edges",,,,,153.0,BOG_20250116,,,
55,76.0,50.0,0.4,0.1,0.2,RG,P,D,,,,,,153.0,BOG_20250116,,,
56,50.0,45.0,0.5,0.2,0.3,RG,P,D,well bonded,,,,,153.0,BOG_20250116,,,
57,45.0,42.0,0.8,0.3,0.5,RG,K,M,"evidence of melt, some MFpc",,,,,153.0,BOG_20250116,,,
58,42.0,39.0,1.0,0.5,0.7,RG,1F,M,previously faceted,,,,,153.0,BOG_20250116,,,
59,39.0,24.0,1.0,0.4,0.7,RGxf,4F,M,faceted edges are rounding,,,,,153.0,BOG_20250116,,,
60,24.0,11.0,0.8,0.3,0.5,RG,1F,M,some MFcl,,,,,153.0,BOG_20250116,,,
61,11.0,0.0,0.8,0.2,0.5,RG,1F,M,,,,,,153.0,BOG_20250116,,,
62,63.5,63.0,1.0,1.0,1.0,PP,F,D,Some riming PPsd PPgp,,,,20241230.0,63.5,SLMet_20241230,0.981,0.05253502857142856,0.09932808743690107
63,63.0,58.0,1.5,0.5,1.0,PP,F,D,Some riming,4.2,4.5,107.1428571,,63.5,SLMet_20241230,11.493444444444446,0.3293269572649572,0.15897390588041854
64,58.0,54.5,1.0,0.5,0.8,DF,F,D,Faceted edges,3.9,4.5,115.3846154,,63.5,SLMet_20241230,37.171945945945936,0.8998470909090908,
65,54.5,52.5,0.4,0.1,0.2,MFcl,F,D,F+,4.0,6.5,162.5,,63.5,SLMet_20241230,,,
66,52.5,37.0,1.0,0.3,0.5,RG,F,D,"Previous DF Larger grains faceted
F/4F-",11.8,16.5,139.8305085,,63.5,SLMet_20241230,,,
67,37.0,19.0,2.0,1.0,1.5,DH,F,D,"Squares, few rounded edges",19.0,45.5,239.4736842,,63.5,SLMet_20241230,,,
68,19.0,0.0,4.0,1.5,2.0,DH,F,D,"Striations, rounding",17.8,42.5,238.7640449,,63.5,SLMet_20241230,,,
74,52.3,52.0,0.3,0.1,0.2,SH,F,D,SHsu not available in grain type,,,,20241122.0,52.3,FST_20241122,0.9810000000000003,0.07584523809523809,
75,52.0,46.0,0.7,0.3,0.3,RG,F,D,RGsr not available in grain type,6.0,9.0,150.0,,52.3,FST_20241122,18.918838309859154,0.43938562464986,
76,46.0,31.0,1.0,0.1,0.5,FC,4F,D,FCso,15.0,24.5,163.33333333333334,,52.3,FST_20241122,,,
77,31.0,16.5,1.0,0.3,0.5,FC,1F,D,"No Cup, FCso, 1F+",14.5,35.5,244.8275862068965,,52.3,FST_20241122,,,
78,16.5,0.0,2.0,1.0,1.5,FC,4F,D,"Some cups, prisms, No striations, FCso, 4F+",16.5,27.0,163.63636363636363,,52.3,FST_20241122,,,
86,139.0,130.0,2.5,1.0,1.5,MFpc,1F,M,MFcl,7.799999999999997,28.0,359.0,20250416.0,139.0,AM_20250416,156.9645344690967,6.011402199683043,
87,130.0,118.0,4.0,0.8,1.5,MFcr,K,M,MFcl,8.0,30.0,381.0,,139.0,AM_20250416,53.975064832145875,1.3808436487804876,
88,118.0,110.0,1.5,0.5,1.0,MFcl,P,M,,6.200000000000003,26.0,427.0,,139.0,AM_20250416,,,
89,110.0,109.0,,,,IF,I,,Ifil,2.799999999999997,14.0,500.0,,139.0,AM_20250416,,,
90,109.0,80.0,2.0,0.5,1.0,MFcl,P,W,,25.8,105.0,407.0,,139.0,AM_20250416,,,
91,80.0,43.0,1.0,0.3,0.8,MFcl,1F,M,,38.2,141.0,370.0,,139.0,AM_20250416,,,
92,43.0,0.0,4.0,1.0,2.0,FCxr,F,M,DHxr,42.8,122.0,285.0,,139.0,AM_20250416,,,
98,47.0,46.5,2.0,0.3,0.5,DF,F,D,"Arms, stellars",,,,20241216.0,47.0,JPLMet_20241216,0.981,0.1194898857142857,
99,46.5,40.0,0.5,0.1,0.3,RGwp,4F,D,"Some corners, edges",7.2,9.5,131.94444444444443,,47.0,JPLMet_20241216,14.472313588850174,0.3522921236749117,
100,40.0,22.0,2.0,0.5,1.0,DHpr,F,D,Well on it's way to DHcp/la,18.0,37.0,205.55555555555557,,47.0,JPLMet_20241216,,,
101,22.0,0.0,4.0,1.0,2.0,DHla,F,D,"Clear cups, striations",20.0,42.5,212.5,,47.0,JPLMet_20241216,,,
110,125.0,113.0,1.5,0.5,1.0,DF,F,D,"DFdc
DFbk",10.799999999999995,17.0,157.40740740740745,20250318.0,125.0,DHMet_20250318,106.98206306934878,,
111,113.0,108.0,1.0,0.3,0.5,MFcr,K,D,"MFcr
MFpc",3.4000000000000057,11.0,323.52941176470534,,125.0,DHMet_20250318,103.005,,
112,108.0,105.0,1.0,0.3,0.5,FC,4F,D,FCso,2.3999999999999915,7.0,291.6666666666677,,125.0,DHMet_20250318,,,
113,105.0,103.0,1.5,0.5,1.0,MFcr,K,D,"MFcr
MFpc",2.200000000000003,7.5,340.9090909090905,,125.0,DHMet_20250318,,,
114,103.0,77.0,1.0,0.3,0.5,RG,1F,D,RGlr,25.60000000000001,80.5,314.4531249999999,,125.0,DHMet_20250318,,,
115,77.0,49.0,0.8,0.3,0.5,RG,P,D,RGlr,29.599999999999994,95.0,320.945945945946,,125.0,DHMet_20250318,,,
116,49.0,36.0,1.5,0.5,1.0,FCxr,1F,D,,13.4,45.5,339.5522388059702,,125.0,DHMet_20250318,,,
117,36.0,14.0,2.0,0.5,1.0,FCxr,4F,D,DHxr,21.8,70.0,321.10091743119267,,125.0,DHMet_20250318,,,
118,14.0,0.0,3.0,0.5,1.5,DHxr,1F,D,,10.8,29.0,268.5185185185185,,125.0,DHMet_20250318,,,
122,106.0,105.5,1.0,0.3,0.5,DF,F,D,DFbk PPsd (0.5mm),,,,20241231.0,106.0,FST_20241231,0.981,0.05244005714285715,0.11674487797129918
123,105.5,91.0,1.5,0.5,1.0,DF,F,D,DFbk Still mostly intact,11.0,9.0,81.81818181818181,,106.0,FST_20241231,30.010634079283886,0.5369365734151329,0.7616245661434805
124,91.0,79.0,1.0,0.3,0.5,DF,4F,D,DFdc Some PPgp,11.0,15.0,136.36363636363637,,106.0,FST_20241231,,,
125,79.0,65.0,0.5,0.1,0.3,RG,1F,D,RGlr Necks,16.0,24.0,150.0,,106.0,FST_20241231,,,
126,65.0,57.0,0.8,0.3,0.5,RG,P,D,RGlr,10.4,23.0,221.15384615384616,,106.0,FST_20241231,,,
127,57.0,33.0,1.0,0.3,0.5,FCxr,1F,D,,20.8,52.0,250.0,,106.0,FST_20241231,,,
128,33.0,11.0,2.0,0.5,1.0,FCxr,1F,D,,18.4,48.5,263.5869565217391,,106.0,FST_20241231,,,
129,11.0,0.0,1.5,0.5,1.0,MFcl,K,D,Clumps DHxr Some MFpc,14.0,36.0,257.1428571428572,,106.0,FST_20241231,,,
134,46.0,45.5,4.0,1.0,2.0,PPsd,F,D,,,,,20241129.0,46.0,JPLMet_20241129,0.981,0.04547548571428571,
135,45.5,36.0,0.5,0.1,0.3,FC,F,D,Few DFdc FCso,10.0,11.0,110.0,,46.0,JPLMet_20241129,10.399662454873646,0.41894295968992246,
136,36.0,18.0,0.5,0.1,0.3,FC,4F,D,FCso,18.0,25.0,138.88888888888889,,46.0,JPLMet_20241129,,,
137,18.0,10.0,2.0,1.0,0.5,FC,1F,D,FCso Early cups/striations,8.0,19.0,237.5,,46.0,JPLMet_20241129,,,
138,10.0,0.0,3.0,2.0,1.0,DHcp,4F,D,,10.0,11.5,115.0,,46.0,JPLMet_20241129,,,
146,143.0,138.0,1.0,0.3,0.5,FCsf,F,D,"SHcp
RR",4.799999999999983,8.5,177.08333333333397,20250313.0,143.0,AM_20250313,122.6697179487179,2.5726836666666664,
