,top_cm,bottom_cm,grain max_mm,grain min_mm,grain avg_mm,type,HH,wetness,comments,hs_cm,swe_mm,density_kgm3,date,hs,profile_id,avg_force_ram,avg_force_scope,avg_force_smp
243,100.0,85.0,1.0,0.3,0.5,RG,4F,W,some MFcl,,,,,209.0,BOG_20250326,,,
244,85.0,84.5,1.0,0.2,0.5,MFcl,1F,M,,,,,,209.0,BOG_20250326,,,
245,84.5,69.0,0.7,0.3,0.5,MFcl,4F,M,,,,,,209.0,BOG_20250326,,,
246,69.0,68.0,1.5,0.5,1.0,MFcl,1F,M,,,,,,209.0,BOG_20250326,,,
247,68.0,63.5,0.8,0.3,0.5,RG,1F,M,close to MFcle,,,,,209.0,BOG_20250326,,,
248,63.5,63.0,0.5,0.3,0.4,MFpc,P,M,,,,,,209.0,BOG_20250326,,,
249,63.0,51.0,0.4,0.2,0.3,RGsr,1F,M,,,,,,209.0,BOG_20250326,,,
250,51.0,50.5,1.5,0.5,1.0,MFpc,K,D,,,,,,209.0,BOG_20250326,,,
251,50.5,23.0,0.6,0.4,0.5,RG,P,M,,,,,,209.0,BOG_20250326,,,
252,23.0,0.0,2.0,1.0,1.5,RGlr,4F,M,previous facets,,,,,209.0,BOG_20250326,,,
253,70.0,69.5,0.8,0.3,0.5,PP,F,D,"PPir, PPnd (clear needles) secondary, PPgp",,,,20250114.0,70.0,JPLMet_20250114,0.981,0.05170666666666667,
254,69.5,62.0,1.0,0.3,0.5,DF,F,D,"DFbk, PPnd secondary",7.8,6.5,83.33333333333333,,70.0,JPLMet_20250114,20.773291682785302,0.5117761970569418,
255,62.0,53.0,1.0,0.3,0.5,RGxf,F,D,,7.8,14.5,185.8974358974359,,70.0,JPLMet_20250114,,,
256,53.0,41.0,1.5,0.5,1.0,RGxf,4F,D,,16.2,36.5,225.30864197530863,,70.0,JPLMet_20250114,,,
257,41.0,5.0,2.5,1.0,1.5,DHcp,F,D,DHch secondary,30.0,65.0,216.66666666666663,,70.0,JPLMet_20250114,,,
258,5.0,0.0,4.0,1.0,2.0,DH,1F,D,DHch,5.8,14.5,250.0,,70.0,JPLMet_20250114,,,
265,160.0,156.0,1.0,0.5,0.7,RGxf,F,D,,3.6,6.5,180.55555555555551,20250110.0,160.0,BOG_20250110,32.02042012653223,1.4141333024911031,0.637752028060353
266,156.0,137.0,0.7,0.3,0.5,RGxf,F,D,More faceted edges than layer above,20.8,45.0,216.34615384615384,,160.0,BOG_20250110,247.0031113899614,7.286010109121909,11.800121485776033
267,137.0,135.0,0.5,0.1,0.3,MFcr,P,D,"faceted on top, ice lens in other places, secondary hardness K",1.6,4.5,365.8809513,,160.0,BOG_20250110,,,
268,135.0,115.0,1.5,0.7,0.1,RGxf,4F,D,,17.0,39.0,229.41176470588235,,160.0,BOG_20250110,,,
