id,hs,top_cm,bot_cm,smp_id,scope_id,sram_id,present [0/1],top_depth_mm,bot_depth_mm
BOG_20250205,204,203,202.5,S19M0619.PNT_samples.csv,,,1,26,36
BOG_20250205,204,203,202.5,S19M0620.PNT_samples.csv,,,1,29,35
BOG_20250205,204,113.5,112.5,S19M0611.PNT_samples.csv,,,1,950,957
BOG_20250205,204,113.5,112.5,S19M0612.PNT_samples.csv,,,1,945,950
BOG_20250205,204,113.5,112.5,S19M0613.PNT_samples.csv,,,1,914,922
BOG_20250205,204,113.5,112.5,S19M0614.PNT_samples.csv,,,1,891,898
BOG_20250205,204,113.5,112.5,S19M0615.PNT_samples.csv,,,1,,
BOG_20250205,204,113.5,112.5,S19M0616.PNT_samples.csv,,,1,917,923
BOG_20250205,204,113.5,112.5,S19M0617.PNT_samples.csv,,,1,934,939
BOG_20250205,204,113.5,112.5,S19M0618.PNT_samples.csv,,,1,932,939
BOG_20250205,204,113.5,112.5,S19M0619.PNT_samples.csv,,,1,941,946
BOG_20250205,204,113.5,112.5,S19M0620.PNT_samples.csv,,,1,951,958
BOG_20250205,204,74,59,S19M0611.PNT_samples.csv,,,1,1369,1420
BOG_20250205,204,74,59,S19M0612.PNT_samples.csv,,,1,1362,1402
BOG_20250205,204,74,59,S19M0613.PNT_samples.csv,,,1,1336,1375
BOG_20250205,204,74,59,S19M0614.PNT_samples.csv,,,1,1322,1361
BOG_20250205,204,74,59,S19M0615.PNT_samples.csv,,,1,1305,1352
BOG_20250205,204,74,59,S19M0616.PNT_samples.csv,,,1,1321,1344
BOG_20250205,204,74,59,S19M0617.PNT_samples.csv,,,1,1338,1362
BOG_20250205,204,74,59,S19M0618.PNT_samples.csv,,,1,1342,1367
BOG_20250205,204,74,59,S19M0619.PNT_samples.csv,,,1,1353,1378
BOG_20250205,204,74,59,S19M0620.PNT_samples.csv,,,1,1359,1389
BDG_20250228,288,284,283,S06M0518.PNT_samples.csv,,,1,55,64
BDG_20250228,288,284,283,S06M0519.PNT_samples.csv,,,1,53,67
BDG_20250228,288,284,283,S06M0520.PNT_samples.csv,,,1,54,91
BDG_20250228,288,284,283,S06M0521.PNT_samples.csv,,,1,55,68
BDG_20250228,288,284,283,S06M0522.PNT_samples.csv,,,1,44,54
BDG_20250228,288,279,278,S06M0518.PNT_samples.csv,,,1,55,64
BDG_20250228,288,279,278,S06M0519.PNT_samples.csv,,,1,96,113
BDG_20250228,288,279,278,S06M0520.PNT_samples.csv,,,1,54,67
BDG_20250228,288,279,278,S06M0521.PNT_samples.csv,,,1,101,115
BDG_20250228,288,279,278,S06M0522.PNT_samples.csv,,,1,43,66
BDG_20250228,288,148,147,S06M0518.PNT_samples.csv,,,0,,
BDG_20250228,288,148,147,S06M0519.PNT_samples.csv,,,0,,
BDG_20250228,288,148,147,S06M0520.PNT_samples.csv,,,0,,
BDG_20250228,288,148,147,S06M0521.PNT_samples.csv,,,0,,
BDG_20250228,288,148,147,S06M0522.PNT_samples.csv,,,0,,
BOG_20250116,153,153,152,S19M0574.PNT_samples.csv,,,0,,
BOG_20250116,153,93.5,92.5,S19M0574.PNT_samples.csv,,,1,,
BOG_20250116,153,80,76,S19M0574.PNT_samples.csv,,,1,,
JPLMet_20250407_TS_1245,64,56,55,S19M0743.PNT_samples.csv,,,0,,
JPLMet_20250407_TS_1245,64,56,55,S19M0744.PNT_samples.csv,,,1,81,85
JPLMet_20250407_TS_1245,64,56,55,S19M0745.PNT_samples.csv,,,1,90,100
JPLMet_20250407_TS_1245,64,49,48,S19M0743.PNT_samples.csv,,,1,,
JPLMet_20250407_TS_1245,64,49,48,S19M0744.PNT_samples.csv,,,1,,
JPLMet_20250407_TS_1245,64,49,48,S19M0745.PNT_samples.csv,,,1,,
BDG_20241219,170,169,167,S19M0483.PNT_samples.csv,,,1,3,11
BDG_20241219,170,169,167,S19M0484.PNT_samples.csv,,,1,2,8
BDG_20241219,170,169,167,S19M0485.PNT_samples.csv,,,1,6,13
BDG_20241219,170,169,167,S19M0486.PNT_samples.csv,,,1,3,11
BDG_20241219,170,169,167,S19M0487.PNT_samples.csv,,,1,2,7
BDG_20241219,170,169,167,S19M0489.PNT_samples.csv,,,1,1,9
BDG_20241219,170,169,167,S19M0490.PNT_samples.csv,,,1,1,5
BDG_20241219,170,169,167,S19M0491.PNT_samples.csv,,,1,4,9
BDG_20241219,170,169,167,S19M0492.PNT_samples.csv,,,1,1,8
BDG_20241219,170,169,167,S19M0493.PNT_samples.csv,,,1,2,9
BDG_20241219,170,75,72,S19M0483.PNT_samples.csv,,,1,950,979
BDG_20241219,170,75,72,S19M0484.PNT_samples.csv,,,1,939,991
BDG_20241219,170,75,72,S19M0485.PNT_samples.csv,,,1,959,985
BDG_20241219,170,75,72,S19M0486.PNT_samples.csv,,,1,942,963
BDG_20241219,170,75,72,S19M0487.PNT_samples.csv,,,1,939,970
BDG_20241219,170,75,72,S19M0489.PNT_samples.csv,,,1,940,970
BDG_20241219,170,75,72,S19M0490.PNT_samples.csv,,,1,944,965
BDG_20241219,170,75,72,S19M0491.PNT_samples.csv,,,1,936,997
BDG_20241219,170,75,72,S19M0492.PNT_samples.csv,,,1,933,978
BDG_20241219,170,75,72,S19M0493.PNT_samples.csv,,,1,936,966
FRE_20241210,94,67,65.5,S19M0449.PNT_samples.csv,,,1,273,268
FRE_20241210,94,67,65.5,S19M0450.PNT_samples.csv,,,1,268,269
FRE_20241210,94,67,65.5,S19M0451.PNT_samples.csv,,,1,273,277
FRE_20241210,94,67,65.5,S19M0452.PNT_samples.csv,,,1,271,283
FRE_20241210,94,67,65.5,S19M0453.PNT_samples.csv,,,1,270,281
FRE_20241210,94,67,65.5,S19M0454.PNT_samples.csv,,,1,276,281
FRE_20241210,94,67,65.5,S19M0455.PNT_samples.csv,,,1,279,288
FRE_20241210,94,67,65.5,S19M0456.PNT_samples.csv,,,1,275,282
FRE_20241210,94,67,65.5,S19M0457.PNT_samples.csv,,,1,276,280
CCY_20250206,92.5,92,91.5,S19M0624.PNT_samples.csv,,,1,4.4,15
CCY_20250206,92.5,92,91.5,S19M0625.PNT_samples.csv,,,1,4.6,13
CCY_20250206,92.5,92,91.5,S19M0627.PNT_samples.csv,,,1,6.8,21
CCY_20250206,92.5,92,91.5,S19M0628.PNT_samples.csv,,,1,5.5,8.9
CCY_20250206,92.5,83.5,78,S19M0624.PNT_samples.csv,,,1,94,130
CCY_20250206,92.5,83.5,78,S19M0625.PNT_samples.csv,,,1,96,135
CCY_20250206,92.5,83.5,78,S19M0627.PNT_samples.csv,,,1,97,138
CCY_20250206,92.5,83.5,78,S19M0628.PNT_samples.csv,,,1,81,119
CCY_20250206,92.5,74,67,S19M0624.PNT_samples.csv,,,1,183,213
CCY_20250206,92.5,74,67,S19M0625.PNT_samples.csv,,,1,197,227
CCY_20250206,92.5,74,67,S19M0627.PNT_samples.csv,,,1,180,233
CCY_20250206,92.5,74,67,S19M0628.PNT_samples.csv,,,1,167,202
CCY_20250206,92.5,61,58,S19M0624.PNT_samples.csv,,,1,355,373
CCY_20250206,92.5,61,58,S19M0625.PNT_samples.csv,,,1,368,388
CCY_20250206,92.5,61,58,S19M0627.PNT_samples.csv,,,1,358,379
CCY_20250206,92.5,61,58,S19M0628.PNT_samples.csv,,,1,331,351
CCY_20250206,92.5,27,20,S19M0624.PNT_samples.csv,,,1,656,680
CCY_20250206,92.5,27,20,S19M0625.PNT_samples.csv,,,1,692,714
CCY_20250206,92.5,27,20,S19M0627.PNT_samples.csv,,,1,684,708
CCY_20250206,92.5,27,20,S19M0628.PNT_samples.csv,,,1,688,711
BDG_20241212,120,78,74,S19M0461.PNT_samples.csv,,,1,420,445
BDG_20241212,120,78,74,S19M0462.PNT_samples.csv,,,1,421,488
